"","tytuly","rok","dlugosc","imieslow","sie","ze","iz"
"605","RelSapRzecz","1700","876","18","21","3","0"
"606","RelWyj","1700","3457","25","92","31","6"
"607","TrembWierszeBar_II","1700","199","0","4","0","0"
"608","WojDespBar_II","1700","490","0","13","6","0"
"609","RelRyg","1701","2071","27","46","17","0"
"610","TwarSPas","1701","27313","153","645","132","1"
"611","FlorTriling","1702","7649","12","238","5","0"
"612","HaurMerBar_II","1702","173","0","3","0","0"
"613","KoniecJATestRak","1702","3512","16","21","7","0"
"614","ListSamRzecz","1702","424","4","6","4","0"
"615","LubSPir","1702","5294","12","130","33","4"
"616","KarSEgzRzecz","1703","3265","19","75","42","4"
"617","KsTorUl_2","1703","639","4","11","2","0"
"618","WojPeroraBar_II","1703","1057","5","23","8","1"
"619","EkscListRzecz","1704","279","3","6","3","0"
"620","InsCel","1704","7219","5","61","10","3"
"621","Wegrzynowicz+Narodzenie","1704","4085","13","58","38","2"
"622","ChrosJob","1705","28249","107","699","90","11"
"623","PiskorKaz","1705","25311","91","327","115","3"
"624","SamTrakt","1705","16968","10","250","104","80"
"625","Piskorski+szkaplerz","1706","2667","3","18","13","0"
"626","SzumInw","1706","11453","3","45","0","0"
"627","KolTron","1707","11321","124","237","94","6"
"628","RuchZolkGeb","1707","1226","0","6","0","0"
"629","RybZRelRzecz","1708","703","16","12","4","0"
"630","DialJezOkon","1709","2388","4","47","7","0"
"631","KrzywdaRzecz","1712","500","5","8","1","0"
"632","MurChwalPam","1712","13851","42","197","23","42"
"633","ZgubWolRzecz","1714","2889","3","66","38","0"
"634","ChlopSasRzecz","1715","529","0","14","2","1"
"635","JarBerRzecz","1715","765","0","7","7","0"
"636","InsWolRzecz","1716","135","3","3","0","0"
"637","KalPolRzecz","1716","1289","4","44","19","2"
"638","PromMed","1716","56950","327","849","79","1"
"639","RybMManRzecz","1716","452","2","8","3","0"
"640","SuffProwRzecz","1716","448","0","8","1","0"
"641","Bielicki+wniebowziecie","1717","4275","21","55","31","0"
"642","BrzezOwRzecz","1717","237","1","2","3","0"
"643","DyakDiar","1717","12168","74","330","142","10"
"644","KsKrowUl_3","1717","1864","23","30","15","5"
"645","ScudZawiszHist","1717","14710","59","358","288","36"
"646","SprawyCzerUl","1717","14790","84","244","0","0"
"647","ZawiszaPam","1717","74488","439","1217","321","21"
"648","KsGrotUl","1718","1460","5","30","1","0"
"649","PoczKrol","1718","22224","71","343","234","3"
"650","PropKanRzecz","1718","1022","0","7","5","2"
"651","RuchBielGeb","1718","343","1","4","0","0"
"652","SupKuzRzecz","1718","610","4","4","4","1"
"653","CompMed","1719","45114","219","738","82","0"
"654","KoniecJATestKryl","1719","3171","3","37","29","1"
"655","KoniecJAZap","1719","261","0","3","0","0"
"656","TrembWierszeWir_II","1719","18787","48","261","181","26"
"657","ZierDruzWir_I","1719","29435","48","405","147","18"
"658","InsOtwRzecz","1720","1686","0","17","12","3"
"659","PunktaDuchRzecz","1720","1047","5","15","6","0"
"660","RzewKor","1720","11422","26","172","27","1"
"661","Sapecki+Koronacja","1720","4377","7","47","22","0"
"662","JewPriv_II_BialKam","1721","499","1","12","1","2"
"663","DworHunGeb","1722","231","0","2","0","0"
"664","PrechDzialKaw","1722","10819","91","247","241","0"
"665","Bujdecki+wniebowziecie","1724","2199","6","33","14","0"
"666","JevPriv_II_Lw","1725","1013","3","12","1","1"
"667","DobraDuchRzecz","1726","1440","0","14","9","2"
"668","JewPriv_II_Sasow","1727","639","3","11","1","1"
"669","LosLutBar_II","1727","357","1","10","4","0"
"670","PretChlopRzecz","1727","796","0","5","4","0"
"671","RodLudzOkon","1727","1987","3","37","14","0"
"672","OtwEDziejeCzech","1728","92478","716","1673","885","5"
"673","RefBrodRzecz","1728","758","5","16","8","5"
"674","RelKor","1728","4721","15","27","6","0"
"675","Sokolowski+oczyszczenie","1728","1536","3","40","13","0"
"676","BystrzListRzecz","1730","271","1","5","2","1"
"677","BystrzPolRzecz","1730","1250","1","17","7","0"
"678","BystrzPrakChron","1730","1697","9","15","18","6"
"679","JablSkrup","1730","15001","53","282","189","2"
"680","DunKalRzecz","1731","996","2","10","0","1"
"681","JunRef","1731","8499","13","224","18","0"
"682","Filipowicz+Oktawa","1732","1682","2","17","28","0"
"683","GosPos","1732","17859","71","438","82","7"
"684","GosPosBar_II","1732","2212","6","47","13","0"
"685","InfSejmRzecz","1732","239","1","5","1","0"
"686","BystrzPol","1733","32832","75","427","251","107"
"687","KonSRoz","1733","37259","24","602","525","9"
"688","LeszczStGlos","1733","47943","124","1024","0","0"
